Bartow County,Georgia,39742,9.2,7.1,5.9,8.6,11.3,22.8,12.7,14.8,4.4,3.3,59911,70644,34.6,GA
Bibb County,Georgia,56726,10.9,6.3,10.6,13.4,14.4,14.5,10.9,10.8,4.2,4,42140,67678,45.3,GA
Bulloch County,Georgia,28660,5.9,6.4,11.7,10.7,14.6,25.8,12.3,7.3,2,3.3,50436,61191,35.3,GA
Carroll County,Georgia,42798,7,3.1,9.4,7.8,14.5,20.8,16.4,14.2,4.3,2.5,61133,69895,29.6,GA
Catoosa County,Georgia,24130,5.1,5.6,5.5,10.3,13.4,23.9,15.2,14,3.4,3.5,61487,71692,28.6,GA
Chatham County,Georgia,107987,6.6,5.2,11,9,11.7,19.3,12.6,14.4,4.2,6.1,57611,80418,45.5,GA
Cherokee County,Georgia,93441,3.3,2.6,6.7,6.5,5.9,18.9,14,21.8,11,9.2,86404,101950,32,GA
Clarke County,Georgia,52124,11.2,8.2,14.8,11.1,12.9,16,8.6,8.9,3.8,4.6,39799,64933,41,GA
Clayton County,Georgia,97030,6.6,4.3,11,9,17.2,25.2,10.5,11.5,3.6,1.2,51093,60225,48.9,GA
Cobb County,Georgia,286952,3.7,2.3,4.6,7.5,11.6,17.4,14.2,17,10,11.7,79601,108459,32.4,GA
Columbia County,Georgia,46890,1.7,0.9,4.8,7.8,6.2,18.1,17,23.6,8.9,10.9,88761,111034,31.2,GA
Coweta County,Georgia,53640,4.4,4.6,7.1,5.6,9.6,16.8,14.6,22.1,10.3,4.9,78423,90034,41.2,GA
DeKalb County,Georgia,289829,5.6,3.3,8.5,9.4,13.1,17.1,12.7,13.3,6.5,10.5,63652,94336,27.6,GA
Dougherty County,Georgia,32630,14.9,9,15.8,10.2,14.7,15.2,8.2,8.3,1.9,1.9,35062,51382,44,GA
Douglas County,Georgia,48899,4.7,3.1,6.9,8.3,17.3,17.9,15.3,15.4,6.4,4.7,62669,80676,33.4,GA
Fayette County,Georgia,41253,2.3,1.9,2.3,6.4,8.3,18.4,14.6,19.3,10.2,16.3,92172,128190,35.7,GA
Floyd County,Georgia,35443,6.1,4.1,13.9,11.4,14.1,18.1,11.9,12.9,4.4,3.2,50880,68905,27.8,GA
Forsyth County,Georgia,81765,1.8,1.2,4.2,4.1,6.4,14.4,11.2,22.5,15.3,18.9,112108,134249,28,GA
Fulton County,Georgia,439578,6.3,3.4,6.7,6.3,10.2,14.4,11.3,16.1,9.1,16.2,80013,125680,32.7,GA
Glynn County,Georgia,34614,5.8,3.8,13,9.7,8.3,22,10.4,16.7,4.9,5.5,59004,82009,38.4,GA
Gwinnett County,Georgia,301471,3.7,2.2,5.8,7.9,12.4,19.7,13.7,18.4,8.5,7.6,72109,93401,36.8,GA
Hall County,Georgia,65625,2.2,3.9,8.1,9.4,12,19.6,11.8,17.9,7.1,7.9,67467,96366,36.5,GA
Henry County,Georgia,79550,3.2,2.2,4.7,8.2,11.2,21.9,15.1,20.5,7,6,71939,90267,34.9,GA
Houston County,Georgia,58417,7.1,3.6,6.1,9.1,13.1,18,15.5,16.1,7.3,4.1,66740,77442,41.8,GA
