"zip"|"type"|"state"|"county"|"country"|"latitude"|"longitude"|"irs_estimated_population"
"00966"|"STANDARD"|"PR"|"Guaynabo Municipio"|"US"|"18.4"|"-66.12"|"0"
"00968"|"STANDARD"|"PR"|"Guaynabo Municipio"|"US"|"18.41"|"-66.1"|"0"
"00969"|"STANDARD"|"PR"|"Guaynabo Municipio"|"US"|"18.38"|"-66.11"|"0"
"00970"|"PO BOX"|"PR"|""|"US"|"18.38"|"-66.11"|"0"
"00971"|"STANDARD"|"PR"|"Guaynabo Municipio"|"US"|"18.32"|"-66.12"|"0"
"00975"|"UNIQUE"|"PR"|"San Juan"|"US"|"18.4"|"-66.06"|"0"
"00976"|"STANDARD"|"PR"|"Trujillo Alto Municipio"|"US"|"18.36"|"-66.01"|"0"
"00977"|"PO BOX"|"PR"|""|"US"|"18.36"|"-66.01"|"0"
"00978"|"PO BOX"|"PR"|"San Juan"|"US"|"18.37"|"-66.01"|"0"
"00979"|"STANDARD"|"PR"|"Carolina Municipio"|"US"|"18.44"|"-66.03"|"0"
"00981"|"PO BOX"|"PR"|"Carolina"|"US"|"18.4"|"-65.98"|"0"
"00982"|"STANDARD"|"PR"|"Carolina Municipio"|"US"|"18.41"|"-65.99"|"0"
"00983"|"STANDARD"|"PR"|"Carolina Municipio"|"US"|"18.4"|"-65.98"|"0"
"00984"|"PO BOX"|"PR"|"Carolina"|"US"|"18.4"|"-65.98"|"0"
"00985"|"STANDARD"|"PR"|"Carolina Municipio"|"US"|"18.41"|"-65.95"|"0"
"00986"|"PO BOX"|"PR"|"Carolina"|"US"|"18.4"|"-65.98"|"0"
"00987"|"STANDARD"|"PR"|"Carolina Municipio"|"US"|"18.34"|"-65.94"|"0"
"00988"|"PO BOX"|"PR"|"Carolina"|"US"|"18.4"|"-65.98"|"0"
"01001"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.06"|"-72.61"|"15240"
"01002"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.37"|"-72.52"|"16070"
"01003"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.39"|"-72.52"|"184"
"01004"|"PO BOX"|"MA"|"Hampshire County"|"US"|"42.37"|"-72.52"|"794"
"01005"|"STANDARD"|"MA"|"Worcester County"|"US"|"42.42"|"-72.1"|"4420"
"01007"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.27"|"-72.4"|"14520"
"01008"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.18"|"-72.93"|"1160"
"01009"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.2"|"-72.34"|"1238"
"01010"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.11"|"-72.2"|"3560"
"01011"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.28"|"-72.98"|"1050"
"01012"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.4"|"-72.85"|"630"
"01013"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.15"|"-72.6"|"19020"
"01014"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.17"|"-72.57"|"354"
"01020"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.17"|"-72.57"|"25700"
"01021"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.17"|"-72.57"|"566"
"01022"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.2"|"-72.54"|"1720"
"01026"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.46"|"-72.9"|"840"
"01027"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.26"|"-72.68"|"16210"
"01028"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.06"|"-72.51"|"15560"
"01029"|"PO BOX"|"MA"|"Berkshire County"|"US"|"42.17"|"-73.03"|"557"
"01030"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.06"|"-72.67"|"10880"
"01031"|"STANDARD"|"MA"|"Worcester County"|"US"|"42.33"|"-72.2"|"990"
"01032"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.46"|"-72.81"|"470"
"01033"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.26"|"-72.52"|"5760"
"01034"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.06"|"-72.86"|"1810"
"01035"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.35"|"-72.58"|"4650"
"01036"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.06"|"-72.41"|"4700"
"01037"|"PO BOX"|"MA"|"Worcester County"|"US"|"42.35"|"-72.2"|"779"
"01038"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.37"|"-72.6"|"2300"
"01039"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.39"|"-72.7"|"1320"
"01040"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.21"|"-72.64"|"29720"
"01041"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.21"|"-72.64"|"1408"
"01050"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.23"|"-72.88"|"2270"
"01053"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.35"|"-72.71"|"1520"
"01054"|"STANDARD"|"MA"|"Franklin County"|"US"|"42.45"|"-72.5"|"1680"
"01056"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.16"|"-72.48"|"18100"
"01057"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.09"|"-72.31"|"7520"
"01059"|"PO BOX"|"MA"|"Hampshire County"|"US"|"42.4"|"-72.52"|"70"
"01060"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.32"|"-72.63"|"11010"
"01061"|"PO BOX"|"MA"|"Hampshire County"|"US"|"42.32"|"-72.67"|"469"
